"CKQ010.Code.or.Value","CKQ010.Value.Description","CKQ010.Count","CKQ010.Cumulative","CKQ010.Skip.to.Item"
"1","Yes",2060,2060,""
"2","No",4393,6453,"CKQ030"
"7","Refused",0,6453,"CKQ030"
"9","Don't know",2,6455,"CKQ030"
".","Missing",524,6979,""
