"PFD069jU.Code.or.Value","PFD069jU.Value.Description","PFD069jU.Count","PFD069jU.Cumulative","PFD069jU.Skip.to.Item"
"1","Days",0,0,NA
"2","Weeks",0,0,NA
"3","Months",3,3,NA
"4","Years",136,139,NA
"7","Refused",0,139,NA
"9","Don't know",0,139,NA
".","Missing",9354,9493,NA
