"WBXP047.Code.or.Value","WBXP047.Value.Description","WBXP047.Count","WBXP047.Cumulative","WBXP047.Skip.to.Item"
"-64.713 to 165.2787","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
