"WBXP091.Code.or.Value","WBXP091.Value.Description","WBXP091.Count","WBXP091.Cumulative","WBXP091.Skip.to.Item"
"-145.9389 to 173.7202","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
