"PFD067E.Code.or.Value","PFD067E.Value.Description","PFD067E.Count","PFD067E.Cumulative","PFD067E.Skip.to.Item"
"10","Arthritis/rheumatism",2,2,NA
"11","Back or neck problem",8,10,NA
"12","Birth defect",0,10,NA
"13","Cancer",0,10,NA
"14","Depression/anxiety/emotional problem",0,10,NA
"15","Other developmental problem (such as cerebral palsy)",0,10,NA
"16","Diabetes",1,11,NA
"17","Fractures, bone/joint injury",8,19,NA
"18","Hearing problem",4,23,NA
"19","Heart problem",7,30,NA
"20","Hypertension/high blood pressure",12,42,NA
"21","Lung/breathing problem",24,66,NA
"22","Mental retardation",2,68,NA
"23","Other injury",4,72,NA
"24","Senility",2,74,NA
"25","Stroke problem",6,80,NA
"26","Vision/problem seeing",23,103,NA
"27","Weight problem",30,133,NA
"28","Other impairment/problem",13,146,NA
"77","Refused",0,146,NA
"99","Don't know",0,146,NA
".","Missing",10324,10470,NA
