"FFQ0014B.Code.or.Value","FFQ0014B.Value.Description","FFQ0014B.Count","FFQ0014B.Cumulative","FFQ0014B.Skip.to.Item"
1,"Yes",5062,5062,""
2,"No",306,5368,"FFQ0015"
88,"Blank",644,6012,""
99,"Error",1,6013,""
