"LBCBR5.Code.or.Value","LBCBR5.Value.Description","LBCBR5.Count","LBCBR5.Cumulative","LBCBR5.Skip.to.Item"
"6.5 to 324.8","Range of Values",264,264,NA
".","Missing",0,264,NA
