"DS1TLYCO.Code.or.Value","DS1TLYCO.Value.Description","DS1TLYCO.Count","DS1TLYCO.Cumulative","DS1TLYCO.Skip.to.Item"
"33 to 13000","Range of Values",458,458,NA
".","Missing",9355,9813,NA
