"AUDTYL02.Code.or.Value","AUDTYL02.Value.Description","AUDTYL02.Count","AUDTYL02.Cumulative","AUDTYL02.Skip.to.Item"
"0 to 2.56","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
