"AUDTYR56.Code.or.Value","AUDTYR56.Value.Description","AUDTYR56.Count","AUDTYR56.Cumulative","AUDTYR56.Skip.to.Item"
"0 to 2.56","Range of Values",1890,1890,NA
".","Missing",156,2046,NA
