"CFDDS.Code.or.Value","CFDDS.Value.Description","CFDDS.Count","CFDDS.Cumulative","CFDDS.Skip.to.Item"
"0 to 100","Range of Values",1422,1422,NA
".","Missing",265,1687,NA
