"DXXPT81X.Code.or.Value","DXXPT81X.Value.Description","DXXPT81X.Count","DXXPT81X.Cumulative","DXXPT81X.Skip.to.Item"
"316.4 to 953.5","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
