"FFQ0024A.Code.or.Value","FFQ0024A.Value.Description","FFQ0024A.Count","FFQ0024A.Cumulative","FFQ0024A.Skip.to.Item"
1,"never",132,132,NA
2,"1-6 times per season",1433,1565,NA
3,"7-11 times per season",647,2212,NA
4,"1 time per month",298,2510,NA
5,"2-3 times per month",774,3284,NA
6,"1 time per week",439,3723,NA
7,"2 times per week",534,4257,NA
8,"3-4 times per week",449,4706,NA
9,"5-6 times per week",154,4860,NA
10,"1 time per day",127,4987,NA
11,"2 or more times per day",91,5078,NA
88,"Blank",912,5990,NA
99,"Error",23,6013,NA
