"MCQ180k.Code.or.Value","MCQ180k.Value.Description","MCQ180k.Count","MCQ180k.Cumulative","MCQ180k.Skip.to.Item"
"0 to 79","Range of Values",282,282,NA
"80","80 years or older",0,282,NA
"77777","Refused",0,282,NA
"99999","Don't know",15,297,NA
".","Missing",9067,9364,NA
