"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",2,2,NA
"11","Back or neck problem",1,3,NA
"12","Birth defect",0,3,NA
"13","Cancer",2,5,NA
"14","Depression/anxiety/emotional problem",0,5,NA
"15","Other developmental problem (such as cerebral palsy)",0,5,NA
"16","Diabetes",2,7,NA
"17","Fractures, bone/joint injury",13,20,NA
"18","Hearing problem",2,22,NA
"19","Heart problem",8,30,NA
"20","Hypertension/high blood pressure",26,56,NA
"21","Lung/breathing problem",10,66,NA
"22","Mental retardation",1,67,NA
"23","Other injury",5,72,NA
"24","Senility",3,75,NA
"25","Stroke problem",6,81,NA
"26","Vision/problem seeing",32,113,NA
"27","Weight problem",35,148,NA
"28","Other impairment/problem",11,159,NA
"77","Refused",0,159,NA
"99","Don't know",0,159,NA
".","Missing",9486,9645,NA
