"PFD067a.Code.or.Value","PFD067a.Value.Description","PFD067a.Count","PFD067a.Cumulative","PFD067a.Skip.to.Item"
"10","Arthritis/rheumatism",635,635,NA
"11","Back or neck problem",198,833,NA
"12","Birth defect",2,835,NA
"13","Cancer",18,853,NA
"14","Depression/anxiety/emotional problem",62,915,NA
"15","Other developmental problem (such as cerebral palsy)",4,919,NA
"16","Diabetes",41,960,NA
"17","Fractures, bone/joint injury",96,1056,NA
"18","Hearing problem",20,1076,NA
"19","Heart problem",29,1105,NA
"20","Hypertension/high blood pressure",22,1127,NA
"21","Lung/breathing problem",41,1168,NA
"22","Mental retardation",6,1174,NA
"23","Other injury",37,1211,NA
"24","Senility",9,1220,NA
"25","Stroke problem",45,1265,NA
"26","Vision/problem seeing",32,1297,NA
"27","Weight problem",42,1339,NA
"28","Other impairment/problem",211,1550,NA
"77","Refused",2,1552,NA
"99","Don't know",32,1584,NA
".","Missing",7909,9493,NA
