"WTSHM32.Code.or.Value","WTSHM32.Value.Description","WTSHM32.Count","WTSHM32.Cumulative","WTSHM32.Skip.to.Item"
"0.0000000 to 812354.7085700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
