"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"1 to 24","Range of Values",1190,1190,NA
".","Missing",6338,7528,NA
