"FFQ0116.Code.or.Value","FFQ0116.Value.Description","FFQ0116.Count","FFQ0116.Cumulative","FFQ0116.Skip.to.Item"
1,"never",696,696,NA
2,"1-6 times per year",1102,1798,NA
3,"7-11 times per year",749,2547,NA
4,"1 time per month",853,3400,NA
5,"2-3 times per month",1080,4480,NA
6,"1 time per week",635,5115,NA
7,"2 times per week",441,5556,NA
8,"3-4 times per week",233,5789,NA
9,"5-6 times per week",75,5864,NA
10,"1 time per day",68,5932,NA
11,"2 or more times per day",16,5948,NA
88,"Blank",53,6001,NA
99,"Error",12,6013,NA
